
Label=I(R4) vs TEMP
LabelX=TEMP
LabelY=I(R4)
Data Point Count=59
TEMP,TEMP,I(R4)
3.6289999999999999E+001, 3.6289999999999999E+001, 1.2406387458353645E-003
3.7289999999999999E+001, 3.7289999999999999E+001, 1.2419671058217336E-003
3.8289999999999999E+001, 3.8289999999999999E+001, 1.2432893192912313E-003
3.9289999999999999E+001, 3.9289999999999999E+001, 1.2446054625290515E-003
4.0289999999999999E+001, 4.0289999999999999E+001, 1.2459156117002124E-003
4.1289999999999999E+001, 4.1289999999999999E+001, 1.2472198428873564E-003
4.2289999999999999E+001, 4.2289999999999999E+001, 1.2485182321482569E-003
4.3289999999999999E+001, 4.3289999999999999E+001, 1.2498108555552771E-003
4.4289999999999999E+001, 4.4289999999999999E+001, 1.2510977892434974E-003
4.5289999999999999E+001, 4.5289999999999999E+001, 1.2523791094645987E-003
4.6289999999999999E+001, 4.6289999999999999E+001, 1.2536548926352727E-003
4.7289999999999999E+001, 4.7289999999999999E+001, 1.2549252153864169E-003
4.8289999999999999E+001, 4.8289999999999999E+001, 1.2561901546245717E-003
4.9289999999999999E+001, 4.9289999999999999E+001, 1.2574497875770399E-003
5.0000000000000000E+001, 5.0000000000000000E+001, 1.2583410334417759E-003

Label=I(R5) vs TEMP
LabelX=TEMP
LabelY=I(R5)
Data Point Count=59
TEMP,TEMP,I(R5)
0.0000000000000000E+000, 0.0000000000000000E+000, 1.2112942703374329E-003
1.0000000000000000E-002, 1.0000000000000000E-002, 1.2113083303814183E-003
2.0000000000000000E-002, 2.0000000000000000E-002, 1.2113223890725304E-003
2.9999999999999999E-002, 2.9999999999999999E-002, 1.2113364469304362E-003
5.0000000000000003E-002, 5.0000000000000003E-002, 1.2113645601570275E-003
8.9999999999999997E-002, 8.9999999999999997E-002, 1.2114207766337397E-003
1.6999999999999998E-001, 1.6999999999999998E-001, 1.2115331697227798E-003
3.2999999999999996E-001, 3.2999999999999996E-001, 1.2117577965219321E-003
6.4999999999999991E-001, 6.4999999999999991E-001, 1.2122064127683056E-003
1.2900000000000000E+000, 1.2900000000000000E+000, 1.2131010874187353E-003
2.2900000000000000E+000, 2.2900000000000000E+000, 1.2144922040157032E-003
3.2900000000000000E+000, 3.2900000000000000E+000, 1.2158753853656870E-003
4.2900000000000000E+000, 4.2900000000000000E+000, 1.2172505688754617E-003
5.2900000000000000E+000, 5.2900000000000000E+000, 1.2186178480083024E-003
6.2900000000000000E+000, 6.2900000000000000E+000, 1.2199773149839644E-003
7.2900000000000000E+000, 7.2900000000000000E+000, 1.2213290607859051E-003
8.2899999999999991E+000, 8.2899999999999991E+000, 1.2226731751943968E-003
9.2899999999999991E+000, 9.2899999999999991E+000, 1.2240097468108027E-003
1.0289999999999999E+001, 1.0289999999999999E+001, 1.2253388631010154E-003
1.1289999999999999E+001, 1.1289999999999999E+001, 1.2266606104100219E-003
1.2289999999999999E+001, 1.2289999999999999E+001, 1.2279750740032587E-003
1.3289999999999999E+001, 1.3289999999999999E+001, 1.2292823380798742E-003
1.4289999999999999E+001, 1.4289999999999999E+001, 1.2305824858263510E-003
1.5289999999999999E+001, 1.5289999999999999E+001, 1.2318755994211255E-003
1.6289999999999999E+001, 1.6289999999999999E+001, 1.2331617600886110E-003
1.7289999999999999E+001, 1.7289999999999999E+001, 1.2344410481036287E-003
1.8289999999999999E+001, 1.8289999999999999E+001, 1.2357135428391311E-003
1.9289999999999999E+001, 1.9289999999999999E+001, 1.2369793227851745E-003
2.0289999999999999E+001, 2.0289999999999999E+001, 1.2382384655900344E-003
2.1289999999999999E+001, 2.1289999999999999E+001, 1.2394910480774256E-003
2.2289999999999999E+001, 2.2289999999999999E+001, 1.2407371462857478E-003
2.3289999999999999E+001, 2.3289999999999999E+001, 1.2419768354926220E-003
2.4289999999999999E+001, 2.4289999999999999E+001, 1.2432101902499445E-003
2.5289999999999999E+001, 2.5289999999999999E+001, 1.2444372844071219E-003
2.6289999999999999E+001, 2.6289999999999999E+001, 1.2456581911568540E-003
2.7289999999999999E+001, 2.7289999999999999E+001, 1.2468729830460983E-003
2.8289999999999999E+001, 2.8289999999999999E+001, 1.2480817320244834E-003
2.9289999999999999E+001, 2.9289999999999999E+001, 1.2492845094715221E-003
3.0289999999999999E+001, 3.0289999999999999E+001, 1.2504813862225460E-003
3.1289999999999999E+001, 3.1289999999999999E+001, 1.2516724326102253E-003
3.2289999999999999E+001, 3.2289999999999999E+001, 1.2528577184935585E-003
3.3289999999999999E+001, 3.3289999999999999E+001, 1.2540373132906998E-003
3.4289999999999999E+001, 3.4289999999999999E+001, 1.2552112860159308E-003
3.5289999999999999E+001, 3.5289999999999999E+001, 1.2563797053161115E-003
3.6289999999999999E+001, 3.6289999999999999E+001, 1.2575426394988180E-003
3.7289999999999999E+001, 3.7289999999999999E+001, 1.2587001565754956E-003
3.8289999999999999E+001, 3.8289999999999999E+001, 1.2598523242940492E-003
3.9289999999999999E+001, 3.9289999999999999E+001, 1.2609992101806947E-003
4.0289999999999999E+001, 4.0289999999999999E+001, 1.2621408815716251E-003
4.1289999999999999E+001, 4.1289999999999999E+001, 1.2632774056593613E-003
4.2289999999999999E+001, 4.2289999999999999E+001, 1.2644088495233300E-003
4.3289999999999999E+001, 4.3289999999999999E+001, 1.2655352801830115E-003
4.4289999999999999E+001, 4.4289999999999999E+001, 1.2666567646238509E-003
4.5289999999999999E+001, 4.5289999999999999E+001, 1.2677733698531549E-003
4.6289999999999999E+001, 4.6289999999999999E+001, 1.2688851629364705E-003
4.7289999999999999E+001, 4.7289999999999999E+001, 1.2699922110474423E-003
4.8289999999999999E+001, 4.8289999999999999E+001, 1.2710945815009467E-003
4.9289999999999999E+001, 4.9289999999999999E+001, 1.2721923418165205E-003
5.0000000000000000E+001, 5.0000000000000000E+001, 1.2729690626842446E-003

Label=I(R6) vs TEMP
LabelX=TEMP
LabelY=I(R6)
Data Point Count=59
TEMP,TEMP,I(R6)
 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0076873751162906E-003
 1.0000000000000000E-002, 1.0000000000000000E-002, 1.0077043905360719E-003
 2.0000000000000000E-002, 2.0000000000000000E-002, 1.0077214058575852E-003
 2.9999999999999999E-002, 2.9999999999999999E-002, 1.0077384211931910E-003
 5.0000000000000003E-002, 5.0000000000000003E-002, 1.0077724519117245E-003
 8.9999999999999997E-002, 8.9999999999999997E-002, 1.0078405135320878E-003
 1.6999999999999998E-001, 1.6999999999999998E-001, 1.0079766375063553E-003
 3.2999999999999996E-001, 3.2999999999999996E-001, 1.0082488883684467E-003
 6.4999999999999991E-001, 6.4999999999999991E-001, 1.0087934013308579E-003
 1.2900000000000000E+000, 1.2900000000000000E+000, 1.0098824653366259E-003
 2.2900000000000000E+000, 2.2900000000000000E+000, 1.0115842177068875E-003
 3.2900000000000000E+000, 3.2900000000000000E+000, 1.0132861907428748E-003
 4.2900000000000000E+000, 4.2900000000000000E+000, 1.0149883296295787E-003
 5.2900000000000000E+000, 5.2900000000000000E+000, 1.0166906380816225E-003
 6.2900000000000000E+000, 6.2900000000000000E+000, 1.0183931197401581E-003
 7.2900000000000000E+000, 7.2900000000000000E+000, 1.0200957781672315E-003
 8.2899999999999991E+000, 8.2899999999999991E+000, 1.0217986168472020E-003
 9.2899999999999991E+000, 9.2899999999999991E+000, 1.0235016391920244E-003
 1.0289999999999999E+001, 1.0289999999999999E+001, 1.0252048485398292E-003
 1.1289999999999999E+001, 1.1289999999999999E+001, 1.0269082481609360E-003
 1.2289999999999999E+001, 1.2289999999999999E+001, 1.0286118412579507E-003
 1.3289999999999999E+001, 1.3289999999999999E+001, 1.0303156309681564E-003
 1.4289999999999999E+001, 1.4289999999999999E+001, 1.0320196203674689E-003
 1.5289999999999999E+001, 1.5289999999999999E+001, 1.0337238124719760E-003
 1.6289999999999999E+001, 1.6289999999999999E+001, 1.0354282102389807E-003
 1.7289999999999999E+001, 1.7289999999999999E+001, 1.0371328165705762E-003
 1.8289999999999999E+001, 1.8289999999999999E+001, 1.0388376343165363E-003
 1.9289999999999999E+001, 1.9289999999999999E+001, 1.0405426662755464E-003
 2.0289999999999999E+001, 2.0289999999999999E+001, 1.0422479151962231E-003
 2.1289999999999999E+001, 2.1289999999999999E+001, 1.0439533837837208E-003
 2.2289999999999999E+001, 2.2289999999999999E+001, 1.0456590746955640E-003
 2.3289999999999999E+001, 2.3289999999999999E+001, 1.0473649905513819E-003
 2.4289999999999999E+001, 2.4289999999999999E+001, 1.0490711339283840E-003
 2.5289999999999999E+001, 2.5289999999999999E+001, 1.0507775073682051E-003
 2.6289999999999999E+001, 2.6289999999999999E+001, 1.0524841133768821E-003
 2.7289999999999999E+001, 2.7289999999999999E+001, 1.0541909544277436E-003
 2.8289999999999999E+001, 2.8289999999999999E+001, 1.0558980329646536E-003
 2.9289999999999999E+001, 2.9289999999999999E+001, 1.0576053514029836E-003
 3.0289999999999999E+001, 3.0289999999999999E+001, 1.0593129121333315E-003
 3.1289999999999999E+001, 3.1289999999999999E+001, 1.0610207175225147E-003
 3.2289999999999999E+001, 3.2289999999999999E+001, 1.0627287699165322E-003
 3.3289999999999999E+001, 3.3289999999999999E+001, 1.0644370716448512E-003
 3.4289999999999999E+001, 3.4289999999999999E+001, 1.0661456250178958E-003
 3.5289999999999999E+001, 3.5289999999999999E+001, 1.0678544323363089E-003
 3.6289999999999999E+001, 3.6289999999999999E+001, 1.0695634958874222E-003
 3.7289999999999999E+001, 3.7289999999999999E+001, 1.0712728179520781E-003
 3.8289999999999999E+001, 3.8289999999999999E+001, 1.0729824008053868E-003
 3.9289999999999999E+001, 3.9289999999999999E+001, 1.0746922467189061E-003
 4.0289999999999999E+001, 4.0289999999999999E+001, 1.0764023579637675E-003
 4.1289999999999999E+001, 4.1289999999999999E+001, 1.0781127368154841E-003
 4.2289999999999999E+001, 4.2289999999999999E+001, 1.0798233855529085E-003
 4.3289999999999999E+001, 4.3289999999999999E+001, 1.0815343064654334E-003
 4.4289999999999999E+001, 4.4289999999999999E+001, 1.0832455018511193E-003
 4.5289999999999999E+001, 4.5289999999999999E+001, 1.0849569740246777E-003
 4.6289999999999999E+001, 4.6289999999999999E+001, 1.0866687253163576E-003
 4.7289999999999999E+001, 4.7289999999999999E+001, 1.0883807580769893E-003
 4.8289999999999999E+001, 4.8289999999999999E+001, 1.0900930746827223E-003
 4.9289999999999999E+001, 4.9289999999999999E+001, 1.0918056775339124E-003
 5.0000000000000000E+001, 5.0000000000000000E+001, 1.0930218329496218E-003
